actor_id,first_name,last_name,last_update
1,Penelope,Guiness,2013-05-26T14:47:57.620Z
2,Nick,Wahlberg,2013-05-26T14:47:57.620Z
3,Ed,Chase,2013-05-26T14:47:57.620Z
4,Jennifer,Davis,2013-05-26T14:47:57.620Z
5,Johnny,Lollobrigida,2013-05-26T14:47:57.620Z
6,Bette,Nicholson,2013-05-26T14:47:57.620Z
7,Grace,Mostel,2013-05-26T14:47:57.620Z
8,Matthew,Johansson,2013-05-26T14:47:57.620Z
9,Joe,Swank,2013-05-26T14:47:57.620Z
10,Christian,Gable,2013-05-26T14:47:57.620Z
11,Zero,Cage,2013-05-26T14:47:57.620Z
12,Karl,Berry,2013-05-26T14:47:57.620Z
13,Uma,Wood,2013-05-26T14:47:57.620Z
14,Vivien,Bergen,2013-05-26T14:47:57.620Z
15,Cuba,Olivier,2013-05-26T14:47:57.620Z
16,Fred,Costner,2013-05-26T14:47:57.620Z
17,Helen,Voight,2013-05-26T14:47:57.620Z
18,Dan,Torn,2013-05-26T14:47:57.620Z
19,Bob,Fawcett,2013-05-26T14:47:57.620Z
20,Lucille,Tracy,2013-05-26T14:47:57.620Z
21,Kirsten,Paltrow,2013-05-26T14:47:57.620Z
22,Elvis,Marx,2013-05-26T14:47:57.620Z
23,Sandra,Kilmer,2013-05-26T14:47:57.620Z
24,Cameron,Streep,2013-05-26T14:47:57.620Z
25,Kevin,Bloom,2013-05-26T14:47:57.620Z
26,Rip,Crawford,2013-05-26T14:47:57.620Z
27,Julia,Mcqueen,2013-05-26T14:47:57.620Z
28,Woody,Hoffman,2013-05-26T14:47:57.620Z
29,Alec,Wayne,2013-05-26T14:47:57.620Z
30,Sandra,Peck,2013-05-26T14:47:57.620Z
31,Sissy,Sobieski,2013-05-26T14:47:57.620Z
32,Tim,Hackman,2013-05-26T14:47:57.620Z
33,Milla,Peck,2013-05-26T14:47:57.620Z
34,Audrey,Olivier,2013-05-26T14:47:57.620Z
35,Judy,Dean,2013-05-26T14:47:57.620Z
36,Burt,Dukakis,2013-05-26T14:47:57.620Z
37,Val,Bolger,2013-05-26T14:47:57.620Z
38,Tom,Mckellen,2013-05-26T14:47:57.620Z
39,Goldie,Brody,2013-05-26T14:47:57.620Z
40,Johnny,Cage,2013-05-26T14:47:57.620Z
41,Jodie,Degeneres,2013-05-26T14:47:57.620Z
42,Tom,Miranda,2013-05-26T14:47:57.620Z
43,Kirk,Jovovich,2013-05-26T14:47:57.620Z
44,Nick,Stallone,2013-05-26T14:47:57.620Z
45,Reese,Kilmer,2013-05-26T14:47:57.620Z
46,Parker,Goldberg,2013-05-26T14:47:57.620Z
47,Julia,Barrymore,2013-05-26T14:47:57.620Z
48,Frances,Day-Lewis,2013-05-26T14:47:57.620Z
49,Anne,Cronyn,2013-05-26T14:47:57.620Z
50,Natalie,Hopkins,2013-05-26T14:47:57.620Z
51,Gary,Phoenix,2013-05-26T14:47:57.620Z
52,Carmen,Hunt,2013-05-26T14:47:57.620Z
53,Mena,Temple,2013-05-26T14:47:57.620Z
54,Penelope,Pinkett,2013-05-26T14:47:57.620Z
55,Fay,Kilmer,2013-05-26T14:47:57.620Z
56,Dan,Harris,2013-05-26T14:47:57.620Z
57,Jude,Cruise,2013-05-26T14:47:57.620Z
58,Christian,Akroyd,2013-05-26T14:47:57.620Z
59,Dustin,Tautou,2013-05-26T14:47:57.620Z
60,Henry,Berry,2013-05-26T14:47:57.620Z
61,Christian,Neeson,2013-05-26T14:47:57.620Z
62,Jayne,Neeson,2013-05-26T14:47:57.620Z
63,Cameron,Wray,2013-05-26T14:47:57.620Z
64,Ray,Johansson,2013-05-26T14:47:57.620Z
65,Angela,Hudson,2013-05-26T14:47:57.620Z
66,Mary,Tandy,2013-05-26T14:47:57.620Z
67,Jessica,Bailey,2013-05-26T14:47:57.620Z
68,Rip,Winslet,2013-05-26T14:47:57.620Z
69,Kenneth,Paltrow,2013-05-26T14:47:57.620Z
70,Michelle,Mcconaughey,2013-05-26T14:47:57.620Z
71,Adam,Grant,2013-05-26T14:47:57.620Z
72,Sean,Williams,2013-05-26T14:47:57.620Z
73,Gary,Penn,2013-05-26T14:47:57.620Z
74,Milla,Keitel,2013-05-26T14:47:57.620Z
75,Burt,Posey,2013-05-26T14:47:57.620Z
76,Angelina,Astaire,2013-05-26T14:47:57.620Z
77,Cary,Mcconaughey,2013-05-26T14:47:57.620Z
78,Groucho,Sinatra,2013-05-26T14:47:57.620Z
79,Mae,Hoffman,2013-05-26T14:47:57.620Z
80,Ralph,Cruz,2013-05-26T14:47:57.620Z
81,Scarlett,Damon,2013-05-26T14:47:57.620Z
82,Woody,Jolie,2013-05-26T14:47:57.620Z
83,Ben,Willis,2013-05-26T14:47:57.620Z
84,James,Pitt,2013-05-26T14:47:57.620Z
85,Minnie,Zellweger,2013-05-26T14:47:57.620Z
143,River,Dean,2013-05-26T14:47:57.620Z
86,Greg,Chaplin,2013-05-26T14:47:57.620Z
87,Spencer,Peck,2013-05-26T14:47:57.620Z
88,Kenneth,Pesci,2013-05-26T14:47:57.620Z
89,Charlize,Dench,2013-05-26T14:47:57.620Z
90,Sean,Guiness,2013-05-26T14:47:57.620Z
91,Christopher,Berry,2013-05-26T14:47:57.620Z
92,Kirsten,Akroyd,2013-05-26T14:47:57.620Z
93,Ellen,Presley,2013-05-26T14:47:57.620Z
94,Kenneth,Torn,2013-05-26T14:47:57.620Z
95,Daryl,Wahlberg,2013-05-26T14:47:57.620Z
96,Gene,Willis,2013-05-26T14:47:57.620Z
97,Meg,Hawke,2013-05-26T14:47:57.620Z
98,Chris,Bridges,2013-05-26T14:47:57.620Z
99,Jim,Mostel,2013-05-26T14:47:57.620Z
100,Spencer,Depp,2013-05-26T14:47:57.620Z
101,Susan,Davis,2013-05-26T14:47:57.620Z
102,Walter,Torn,2013-05-26T14:47:57.620Z
103,Matthew,Leigh,2013-05-26T14:47:57.620Z
104,Penelope,Cronyn,2013-05-26T14:47:57.620Z
105,Sidney,Crowe,2013-05-26T14:47:57.620Z
106,Groucho,Dunst,2013-05-26T14:47:57.620Z
107,Gina,Degeneres,2013-05-26T14:47:57.620Z
108,Warren,Nolte,2013-05-26T14:47:57.620Z
109,Sylvester,Dern,2013-05-26T14:47:57.620Z
110,Susan,Davis,2013-05-26T14:47:57.620Z
111,Cameron,Zellweger,2013-05-26T14:47:57.620Z
112,Russell,Bacall,2013-05-26T14:47:57.620Z
113,Morgan,Hopkins,2013-05-26T14:47:57.620Z
114,Morgan,Mcdormand,2013-05-26T14:47:57.620Z
115,Harrison,Bale,2013-05-26T14:47:57.620Z
116,Dan,Streep,2013-05-26T14:47:57.620Z
117,Renee,Tracy,2013-05-26T14:47:57.620Z
118,Cuba,Allen,2013-05-26T14:47:57.620Z
119,Warren,Jackman,2013-05-26T14:47:57.620Z
